row_id,schema_version,row_status,row_version,date,q,kappa,support_withdrawal_horizon,holder,state_path,evidence_standing,verdict,remedy,challenge_condition,notes
SCR-v0.1-001,SCR-v0.1,ACTIVE,1.0,2026-05-26,"This medication controls symptom X while taken daily.",Maintenance,"Daily dosing → dose cessation over clinically relevant post-cessation window.",CADENCE / SCHEDULE,DECAY,PROBED,MATCH,"None, or ordinary disclosure.","This row's MATCH classification should be revised if the seller's actual claim or pricing implies terminal cure, durable correction, or independence from dosing rather than maintenance.","Calibration plate Claim A."
SCR-v0.1-002,SCR-v0.1,ACTIVE,1.0,2026-05-26,"This medication cures symptom X.",Terminal,"Daily dosing → dose cessation over cure-implied horizon.",CADENCE / SCHEDULE,DECAY,PROBED,MISMATCH,"Relabel, term-limit, discount, or terminal-cure evidence.","This row's MISMATCH classification should be revised if evidence shows symptom reduction remains above the promised threshold after dosing stops for the cure-implied horizon, without substitute treatment carrying the state.","Calibration plate Claim B. Same evidence as 001, different κ."
SCR-v0.1-003,SCR-v0.1,ACTIVE,1.0,2026-05-26,"This compute commitment represents committed demand.","Firm, independent","Buyer demand, seller financing, equity support, credit support, cloud credits, related-party circularity, capacity prepayments → withdrawal of seller-linked support over the contract or financing stress window.","SELF / BUYER or COMPLEMENT / OUTSIDE CAPITAL for independent fraction; PATRON / VENDOR or COMPLEMENT / SELLER-SUPPLIED CAPITAL for seller-supported fraction; OPAQUE where funding path is undisclosed.","RENTED, DECAY, or HOSTAGE depending on circularity structure",OPAQUE or DOCUMENTED,"MATCH for independent fraction; MISMATCH for seller-held fraction; OPAQUE where funding cannot be traced.","Disclosure, discount, reserve, covenant, or exclusion from independent-demand categories.","A PATRON / VENDOR or OPAQUE classification should be revised if evidence shows the buyer can fund and sustain the commitment above the claimed threshold after vendor financing, seller credit support, circular prepayments, and substitute seller-linked financing are withdrawn for the claim-implied stress horizon.","DCT application from paper §4. ARM = min(B,I) precedence rule."
SCR-v0.1-004,SCR-v0.1,ACTIVE,1.0,2026-05-26,"This household holds $X of wealth.","Durable, independent, transferable","Wage continuity, credit access, insurance, benefits, family support, legal title, liquidity, program rules, debt covenants → withdrawal of the load-bearing mediator at shock, opportunity, or transfer horizon.","SELF / USER where wealth remains controlled and transferable; PATRON, MEDIATOR, SETTING, or COMPLEMENT where wealth depends on support.","HELD, DECAY, CLAWED, or HOSTAGE",DOCUMENTED,"MATCH where retained custody remains household-held; MISMATCH where headline wealth is treated as durable or transferable but is support-held.","Relabel, reserve, discount, covenant, disclosure, or redesigned intervention.","A non-SELF holder assignment should be revised if evidence shows the household retains control, liquidity, legal use, and transferability of the claimed wealth after the specified support relation is withdrawn for the claim-implied shock or transfer horizon, without substitute support.","HOLD BOX application from paper §5."
SCR-v0.1-005,SCR-v0.1,ACTIVE,1.0,2026-05-26,"This therapy provides durable correction.","Durable; terminal if claim language, pricing, or governance implies cure.","Biological modification, vector or cell persistence, conditioning, monitoring, rescue therapy, payer coverage, manufacturer warranties, registry participation → treatment episode plus withdrawal of substitute support over the claimed durability horizon.","SELF / SUBSTRATE if correction persists biologically; CADENCE, PATRON, or COMPLEMENT where support bundle carries the state.","HELD, TUNED/TAPER, DECAY, REBOUND, RESIDUAL, or HOSTAGE","DOCUMENTED for short horizons; INFERRED or UNPROBED for horizons not reached","MATCH when durability is substrate-held at the claimed horizon; UNPROBED for unreached horizons; MISMATCH when durability-priced claims exceed support.","Escrow, holdback, term-limit, discount, relabeling, registry evidence, or outcome covenant.","A DECAY, UNPROBED, or MISMATCH classification should be revised if evidence shows the claimed endpoint remains above the promised threshold after the treatment episode and withdrawal of substitute support for the claim-implied durability horizon, without rescue therapy or unrelated interventions carrying the state.","Gene therapy application from paper §6. Escrow formula: (1-DCF) × L upfront, DCF × L escrowed."
SCR-v0.1-006,SCR-v0.1,DRAFT,1.0,2026-05-26,"This AI assistant saved five hours of work.",Transfer,"Model access, prompt context, human review, revision, integration, downstream acceptance → handback and acceptance horizon.","MEDIATOR / VENDOR or CADENCE / ROUTINE if value exists only during generation and correction; SELF / USER if usable work survives handback.","HELD, DECAY, or RENTED","INFERRED or UNPROBED","MATCH only for retained usable work; MISMATCH where draft production is sold as completed saved work; UNPROBED if no handback or acceptance measurement exists.","Relabel, discount, TCO reprice, or disclosure of retained-work fraction.","A VENDOR, DECAY, or UNPROBED classification should be revised if evidence shows usable accepted work remains above the claimed time-saving threshold after model access, prompting support, and human correction load are accounted for at handback.","Tests the narrower saved-work claim. A reliability claim across workflows could add κ=Firm."
SCR-v0.1-007,SCR-v0.1,DRAFT,1.0,2026-05-26,"This synthetic voice is exclusive to the buyer.","Exclusive, independent","Training data, model weights, recipe, platform controls, licensing terms, output filters, marketplace enforcement → withdrawal of vendor enforcement and test of reproduction window.","SELF / USER only if the buyer controls the reproducibility boundary; MEDIATOR / VENDOR or COMPLEMENT / MODEL SUPPLY where exclusivity depends on platform enforcement or proprietary generation pipeline.","HELD, RENTED, or DRIFTS",INFERRED,"MATCH where exclusivity survives reproduction attempts without vendor discretion; MISMATCH where exclusivity is sold but reproducibility is vendor-held or open; OPAQUE if the reproduction boundary is undisclosed.","Relabel, discount, disclosure, exclusion from exclusive-asset categories, or covenant.","A VENDOR, DRIFTS, or OPAQUE classification should be revised if evidence shows materially similar voice outputs cannot be reproduced after withdrawal of vendor enforcement and after access to comparable models, recipes, or data sources during the relevant reproduction window.","Synthetic media exclusivity case."
SCR-v0.1-008,SCR-v0.1,DRAFT,1.0,2026-05-26,"This companion AI relationship is yours and persists over time.","Durable, transfer, independent","Vendor account, model access, memory store, subscription, moderation policy, device access, export rights, continuity of persona → cancellation, platform shutdown, export, or model migration horizon.","MEDIATOR / VENDOR where continuity depends on platform operation; CADENCE / ROUTINE where attachment depends on repeated interaction; SELF / USER only where usable memory and continuity transfer.","HOSTAGE, RENTED, or DECAY",INFERRED,"MATCH where functional continuity, memory, and access transfer to the user and survive cancellation, shutdown, or migration at the claim-implied horizon. MISMATCH if relationship continuity is sold as user-held but remains vendor-held. OPAQUE if memory and model-dependency boundaries are undisclosed.","Disclosure, relabeling, exit right, export covenant, or exclusion from ownership-like claims.","A VENDOR, HOSTAGE, or MISMATCH classification should be revised if evidence shows the user retains functional continuity, memory, and access after subscription cancellation, vendor shutdown, or platform migration for the claim-implied horizon, without substitute vendor support.","Companion AI case. MATCH possible with portable memory and model independence."
SCR-v0.1-009,SCR-v0.1,DRAFT,1.0,2026-05-26,"This pension is 75% funded.","Firm, durable","Asset returns, employer contributions, state subsidy, legal priority, workforce demographics, discount-rate assumptions, benefit rules → stress window for returns, contributions, demographic contraction, or subsidy withdrawal.","SELF / SUBSTRATE where funding survives stress through assets and enforceable contributions; PATRON / STATE or PATRON / EMPLOYER where solvency depends on continuing subsidy or contribution tolerance; SETTING / LEGAL PRIORITY where legal recognition carries the state.","HELD, DECAY, or CLAWED",DOCUMENTED,"MATCH where funded status survives the relevant stress horizon; MISMATCH where headline funded status depends on assumptions or support not held by the plan.","Reserve, covenant, disclosure, discount, or benefit-risk relabeling.","A non-SELF holder assignment should be revised if evidence shows funded status remains above the claimed threshold after withdrawal or stress of the identified support relation for the relevant actuarial horizon.","Public-finance case."
SCR-v0.1-010,SCR-v0.1,DRAFT,1.0,2026-05-26,"This software gives the buyer durable capability.","Transfer, durable, independent","Vendor service, license, API, updates, training, implementation partner, data export, maintenance, user skill transfer → vendor exit, subscription cancellation, API deprecation, or support withdrawal horizon.","SELF / USER if capability transfers to the organization; MEDIATOR / VENDOR where capability remains service-held; CADENCE / ROUTINE where capability depends on continued use and support cycles.","HELD, RENTED, or DECAY",INFERRED,"MATCH where capability remains usable after support withdrawal; MISMATCH where access or support is sold as transferred capability.","TCO reprice, relabel, exit right, discount, or maintenance covenant.","A VENDOR, RENTED, or DECAY classification should be revised if evidence shows users retain the claimed capability after vendor support, updates, API access, and implementation partner support are withdrawn for the claim-implied horizon.","Enterprise software lock-in case."
